split,stem,n_boxes,classes,snr_db,image_compressed_bits,raw_spectrogram_8bit_bits,raw_iq_12bit_bits,semantic_box_bits
train,000000000152,1,P2,12.0,117088,131072,24000000,281
train,000000000153,1,LFM,20.0,170904,131072,24000000,281
train,000000000154,1,Rect,12.0,116256,131072,24000000,281
train,000000000155,0,,12.0,111264,131072,24000000,209
train,000000000156,1,ZadoffChu,-20.0,111224,131072,24000000,281
train,000000000157,0,,20.0,112136,131072,24000000,209
train,000000000158,1,Frank,4.0,115568,131072,24000000,281
train,000000000159,1,Rect,-12.0,111360,131072,24000000,281
train,000000000160,1,P3,-12.0,136024,131072,24000000,281
train,000000000161,0,,-20.0,113320,131072,24000000,209
train,000000000162,0,,-12.0,112584,131072,24000000,209
train,000000000163,1,ZadoffChu,12.0,115464,131072,24000000,281
train,000000000164,1,FMCW,-4.0,116064,131072,24000000,281
train,000000000165,0,,-12.0,112904,131072,24000000,209
train,000000000166,0,,12.0,112376,131072,24000000,209
train,000000000167,1,Frank,-4.0,112176,131072,24000000,281
train,000000000168,1,FMCW,-4.0,113504,131072,24000000,281
train,000000000169,0,,-4.0,110640,131072,24000000,209
train,000000000170,1,LFM,-12.0,127552,131072,24000000,281
train,000000000171,0,,-20.0,112008,131072,24000000,209
train,000000000172,1,P1,4.0,114608,131072,24000000,281
train,000000000173,0,,4.0,114240,131072,24000000,209
train,000000000174,1,Frank,-20.0,124624,131072,24000000,281
train,000000000175,0,,12.0,113832,131072,24000000,209
train,000000000176,1,LFM,-20.0,119960,131072,24000000,281
train,000000000177,1,P3,-20.0,124600,131072,24000000,281
train,000000000178,0,,4.0,113096,131072,24000000,209
train,000000000179,0,,-12.0,110992,131072,24000000,209
train,000000000180,0,,20.0,113552,131072,24000000,209
train,000000000181,0,,20.0,112328,131072,24000000,209
train,000000000182,0,,-12.0,113992,131072,24000000,209
train,000000000183,1,ZadoffChu,4.0,115304,131072,24000000,281
train,000000000184,0,,-20.0,112760,131072,24000000,209
train,000000000185,0,,12.0,113328,131072,24000000,209
train,000000000186,1,P2,-4.0,113224,131072,24000000,281
train,000000000187,0,,20.0,114520,131072,24000000,209
train,000000000188,0,,-20.0,112280,131072,24000000,209
train,000000000189,0,,-12.0,113248,131072,24000000,209
train,000000000190,0,,20.0,112680,131072,24000000,209
train,000000000191,0,,-4.0,111600,131072,24000000,209
train,000000000192,0,,4.0,112896,131072,24000000,209
train,000000000193,0,,12.0,110944,131072,24000000,209
train,000000000194,0,,12.0,112888,131072,24000000,209
train,000000000195,1,LFM,-20.0,129088,131072,24000000,281
train,000000000196,1,Barker,20.0,115168,131072,24000000,281
train,000000000197,1,Rect,12.0,118752,131072,24000000,281
train,000000000198,0,,20.0,114096,131072,24000000,209
train,000000000199,0,,-12.0,111480,131072,24000000,209
train,000000000200,0,,4.0,114160,131072,24000000,209
train,000000000201,0,,4.0,114304,131072,24000000,209
train,000000000202,0,,-4.0,112016,131072,24000000,209
train,000000000203,1,P2,-20.0,108264,131072,24000000,281
train,000000000204,0,,-4.0,113224,131072,24000000,209
train,000000000205,0,,4.0,112624,131072,24000000,209
train,000000000206,0,,-4.0,111288,131072,24000000,209
train,000000000207,0,,12.0,112560,131072,24000000,209
train,000000000208,1,P4,12.0,116968,131072,24000000,281
train,000000000209,0,,20.0,114496,131072,24000000,209
train,000000000210,0,,-12.0,111256,131072,24000000,209
train,000000000211,1,ZadoffChu,12.0,116312,131072,24000000,281
train,000000000212,1,P1,20.0,117160,131072,24000000,281
train,000000000213,0,,-4.0,113232,131072,24000000,209
train,000000000214,0,,4.0,113160,131072,24000000,209
train,000000000215,0,,12.0,114360,131072,24000000,209
train,000000000216,1,FMCW,20.0,114832,131072,24000000,281
train,000000000217,0,,-12.0,113552,131072,24000000,209
train,000000000218,1,P3,12.0,114936,131072,24000000,281
train,000000000219,1,P3,4.0,115456,131072,24000000,281
train,000000000220,1,Frank,12.0,114776,131072,24000000,281
train,000000000221,0,,-4.0,113536,131072,24000000,209
train,000000000222,0,,20.0,113472,131072,24000000,209
train,000000000223,0,,-20.0,113080,131072,24000000,209
train,000000000224,1,P2,-12.0,113256,131072,24000000,281
train,000000000225,0,,-12.0,112560,131072,24000000,209
train,000000000226,0,,-20.0,113240,131072,24000000,209
train,000000000227,0,,-20.0,112752,131072,24000000,209
train,000000000228,1,Px,12.0,115072,131072,24000000,281
train,000000000229,0,,4.0,113048,131072,24000000,209
train,000000000230,1,FMCW,4.0,114632,131072,24000000,281
train,000000000231,1,P4,-20.0,138504,131072,24000000,281
train,000000000232,1,Px,4.0,113464,131072,24000000,281
train,000000000233,0,,12.0,110648,131072,24000000,209
train,000000000234,0,,-20.0,112640,131072,24000000,209
train,000000000235,0,,-4.0,111600,131072,24000000,209
train,000000000236,0,,-4.0,111168,131072,24000000,209
train,000000000237,1,P2,-4.0,114136,131072,24000000,281
train,000000000238,0,,12.0,112424,131072,24000000,209
train,000000000239,0,,-20.0,113920,131072,24000000,209
train,000000000240,1,FMCW,-12.0,138272,131072,24000000,281
train,000000000241,0,,12.0,112864,131072,24000000,209
train,000000000242,1,ZadoffChu,-12.0,113416,131072,24000000,281
train,000000000243,1,P3,-12.0,112544,131072,24000000,281
train,000000000244,0,,4.0,112272,131072,24000000,209
train,000000000245,1,P4,-20.0,112960,131072,24000000,281
train,000000000246,1,FMCW,-12.0,115528,131072,24000000,281
train,000000000247,0,,20.0,113184,131072,24000000,209
train,000000000248,0,,4.0,114376,131072,24000000,209
train,000000000249,0,,-4.0,111144,131072,24000000,209
train,000000000250,1,Px,-12.0,111176,131072,24000000,281
train,000000000251,0,,-20.0,113704,131072,24000000,209
train,000000000252,0,,-4.0,113472,131072,24000000,209
train,000000000253,0,,4.0,113528,131072,24000000,209
train,000000000254,1,P2,12.0,114456,131072,24000000,281
train,000000000255,0,,12.0,112376,131072,24000000,209
train,000000000256,1,P2,-20.0,109104,131072,24000000,281
train,000000000257,0,,-12.0,112744,131072,24000000,209
train,000000000258,1,ZadoffChu,12.0,116936,131072,24000000,281
train,000000000259,0,,-4.0,113248,131072,24000000,209
train,000000000260,1,Frank,20.0,116248,131072,24000000,281
train,000000000261,1,LFM,12.0,117552,131072,24000000,281
train,000000000262,0,,20.0,113952,131072,24000000,209
train,000000000263,1,P1,-20.0,125000,131072,24000000,281
train,000000000264,1,P4,-4.0,112088,131072,24000000,281
train,000000000265,1,Rect,-12.0,114472,131072,24000000,281
train,000000000266,0,,-20.0,112784,131072,24000000,209
train,000000000267,0,,-20.0,113152,131072,24000000,209
train,000000000268,0,,-20.0,112056,131072,24000000,209
train,000000000269,1,Barker,12.0,112416,131072,24000000,281
train,000000000270,1,Px,12.0,112928,131072,24000000,281
train,000000000271,1,LFM,-20.0,131720,131072,24000000,281
train,000000000272,0,,-20.0,114152,131072,24000000,209
train,000000000273,0,,12.0,113520,131072,24000000,209
train,000000000274,1,P2,4.0,114272,131072,24000000,281
train,000000000275,1,Rect,-12.0,117040,131072,24000000,281
train,000000000276,1,P4,4.0,114648,131072,24000000,281
train,000000000277,1,ZadoffChu,20.0,116808,131072,24000000,281
train,000000000278,0,,-20.0,112728,131072,24000000,209
train,000000000279,1,P2,-4.0,112680,131072,24000000,281
train,000000000280,0,,12.0,113760,131072,24000000,209
train,000000000281,1,P1,-20.0,109448,131072,24000000,281
train,000000000282,1,Frank,20.0,115792,131072,24000000,281
train,000000000283,0,,20.0,111680,131072,24000000,209
train,000000000284,1,Frank,12.0,114712,131072,24000000,281
train,000000000285,1,LFM,-12.0,140352,131072,24000000,281
train,000000000286,1,P1,20.0,116248,131072,24000000,281
train,000000000287,1,ZadoffChu,-12.0,112256,131072,24000000,281
train,000000000288,0,,-20.0,113816,131072,24000000,209
train,000000000289,0,,-12.0,112000,131072,24000000,209
train,000000000290,1,Px,20.0,133736,131072,24000000,281
train,000000000291,1,Rect,12.0,117912,131072,24000000,281
train,000000000292,0,,-12.0,112048,131072,24000000,209
train,000000000293,0,,12.0,111800,131072,24000000,209
train,000000000294,0,,-4.0,111776,131072,24000000,209
train,000000000295,1,P4,12.0,114992,131072,24000000,281
train,000000000296,0,,-12.0,114272,131072,24000000,209
train,000000000297,0,,-4.0,113104,131072,24000000,209
train,000000000298,1,Px,-20.0,115752,131072,24000000,281
train,000000000299,1,Rect,12.0,115776,131072,24000000,281
train,000000000300,1,FMCW,20.0,159480,131072,24000000,281
train,000000000301,1,Px,-12.0,137504,131072,24000000,281
train,000000000302,1,P3,-4.0,114816,131072,24000000,281
train,000000000303,0,,-4.0,111432,131072,24000000,209
train,000000000304,1,ZadoffChu,-4.0,112608,131072,24000000,281
train,000000000305,0,,-12.0,112936,131072,24000000,209
train,000000000306,1,FMCW,-12.0,112400,131072,24000000,281
train,000000000307,0,,12.0,113296,131072,24000000,209
train,000000000308,1,Rect,-20.0,135256,131072,24000000,281
train,000000000309,0,,-12.0,112632,131072,24000000,209
train,000000000310,0,,-20.0,113600,131072,24000000,209
train,000000000311,0,,12.0,112256,131072,24000000,209
train,000000000312,0,,12.0,112448,131072,24000000,209
train,000000000313,1,Rect,-20.0,133440,131072,24000000,281
train,000000000314,1,Frank,20.0,117544,131072,24000000,281
train,000000000315,0,,-4.0,113208,131072,24000000,209
train,000000000316,1,Barker,-4.0,111440,131072,24000000,281
train,000000000317,1,P1,12.0,116776,131072,24000000,281
train,000000000318,1,ZadoffChu,-12.0,112312,131072,24000000,281
train,000000000319,1,P2,12.0,116864,131072,24000000,281
train,000000000320,1,FMCW,-20.0,113640,131072,24000000,281
train,000000000321,0,,-4.0,112392,131072,24000000,209
train,000000000322,0,,20.0,114648,131072,24000000,209
train,000000000323,1,P3,-12.0,112072,131072,24000000,281
train,000000000324,0,,4.0,112008,131072,24000000,209
train,000000000325,0,,12.0,113808,131072,24000000,209
train,000000000326,1,LFM,12.0,114232,131072,24000000,281
train,000000000327,0,,20.0,112496,131072,24000000,209
train,000000000328,0,,12.0,112848,131072,24000000,209
train,000000000329,1,ZadoffChu,12.0,116376,131072,24000000,281
train,000000000330,0,,-20.0,111640,131072,24000000,209
train,000000000331,1,P4,20.0,168416,131072,24000000,281
train,000000000332,0,,20.0,112648,131072,24000000,209
train,000000000333,1,ZadoffChu,-20.0,115536,131072,24000000,281
train,000000000334,1,Px,12.0,114888,131072,24000000,281
train,000000000335,0,,20.0,112312,131072,24000000,209
train,000000000336,0,,12.0,111624,131072,24000000,209
train,000000000337,1,Rect,12.0,115672,131072,24000000,281
train,000000000338,0,,-12.0,112072,131072,24000000,209
train,000000000339,0,,4.0,113968,131072,24000000,209
train,000000000340,1,Rect,-12.0,112072,131072,24000000,281
train,000000000341,1,P4,-20.0,122952,131072,24000000,281
train,000000000342,1,P1,-12.0,135824,131072,24000000,281
train,000000000343,0,,-12.0,112456,131072,24000000,209
train,000000000344,1,LFM,12.0,118040,131072,24000000,281
train,000000000345,1,P2,-20.0,118872,131072,24000000,281
train,000000000346,0,,-20.0,110376,131072,24000000,209
train,000000000347,0,,12.0,113152,131072,24000000,209
train,000000000348,0,,-20.0,112608,131072,24000000,209
train,000000000349,0,,20.0,111240,131072,24000000,209
train,000000000350,0,,12.0,113312,131072,24000000,209
train,000000000351,0,,20.0,112416,131072,24000000,209
train,000000000352,1,P4,-4.0,114760,131072,24000000,281
train,000000000353,0,,20.0,112112,131072,24000000,209
train,000000000354,1,Px,-12.0,140248,131072,24000000,281
train,000000000355,1,FMCW,-12.0,117120,131072,24000000,281
train,000000000356,0,,12.0,110424,131072,24000000,209
train,000000000357,1,Rect,-4.0,113168,131072,24000000,281
train,000000000358,0,,-20.0,112976,131072,24000000,209
train,000000000359,0,,12.0,112504,131072,24000000,209
train,000000000360,0,,-20.0,112552,131072,24000000,209
train,000000000361,0,,-20.0,113440,131072,24000000,209
train,000000000362,1,P3,4.0,112552,131072,24000000,281
train,000000000363,1,Frank,4.0,116184,131072,24000000,281
train,000000000364,1,Frank,12.0,114352,131072,24000000,281
train,000000000365,0,,12.0,112016,131072,24000000,209
train,000000000366,0,,-12.0,111720,131072,24000000,209
train,000000000367,0,,-20.0,113008,131072,24000000,209
train,000000000368,0,,4.0,111560,131072,24000000,209
train,000000000369,0,,-12.0,113832,131072,24000000,209
train,000000000370,1,Barker,-4.0,114680,131072,24000000,281
train,000000000371,0,,4.0,112584,131072,24000000,209
train,000000000372,0,,-4.0,111976,131072,24000000,209
train,000000000373,1,P2,4.0,115248,131072,24000000,281
train,000000000374,1,ZadoffChu,-4.0,113080,131072,24000000,281
train,000000000375,0,,-12.0,112272,131072,24000000,209
train,000000000376,1,Rect,-4.0,112040,131072,24000000,281
train,000000000377,0,,12.0,113136,131072,24000000,209
train,000000000378,0,,-20.0,113160,131072,24000000,209
train,000000000379,0,,-4.0,112080,131072,24000000,209
train,000000000380,0,,-4.0,112976,131072,24000000,209
train,000000000381,0,,-20.0,111976,131072,24000000,209
train,000000000382,1,ZadoffChu,20.0,128400,131072,24000000,281
train,000000000383,0,,4.0,113728,131072,24000000,209
train,000000000384,0,,20.0,112856,131072,24000000,209
train,000000000385,1,Px,12.0,116816,131072,24000000,281
train,000000000386,1,Barker,4.0,114720,131072,24000000,281
train,000000000387,0,,12.0,113360,131072,24000000,209
train,000000000388,0,,-4.0,110544,131072,24000000,209
train,000000000389,1,Px,-12.0,115232,131072,24000000,281
train,000000000390,0,,-20.0,113808,131072,24000000,209
train,000000000391,1,FMCW,-4.0,137304,131072,24000000,281
train,000000000392,0,,-4.0,113048,131072,24000000,209
train,000000000393,1,P1,-20.0,134336,131072,24000000,281
train,000000000394,1,LFM,-20.0,126032,131072,24000000,281
train,000000000395,0,,-12.0,114168,131072,24000000,209
train,000000000396,0,,-20.0,111736,131072,24000000,209
train,000000000397,0,,12.0,112784,131072,24000000,209
train,000000000398,1,P1,-4.0,114056,131072,24000000,281
train,000000000399,1,P1,12.0,114536,131072,24000000,281
train,000000000400,1,Px,20.0,116016,131072,24000000,281
train,000000000401,1,FMCW,-20.0,113544,131072,24000000,281
train,000000000402,0,,-20.0,114488,131072,24000000,209
train,000000000403,1,Px,20.0,124736,131072,24000000,281
train,000000000404,1,FMCW,20.0,118904,131072,24000000,281
train,000000000405,0,,-12.0,111288,131072,24000000,209
train,000000000406,0,,-20.0,110608,131072,24000000,209
train,000000000407,0,,12.0,112768,131072,24000000,209
train,000000000408,1,Frank,20.0,116144,131072,24000000,281
train,000000000409,0,,-20.0,112888,131072,24000000,209
train,000000000410,0,,-4.0,112760,131072,24000000,209
train,000000000411,1,P1,-12.0,132576,131072,24000000,281
train,000000000412,1,Px,12.0,116368,131072,24000000,281
train,000000000413,1,P4,-12.0,122176,131072,24000000,281
train,000000000414,0,,-12.0,110640,131072,24000000,209
train,000000000415,1,Frank,-12.0,134392,131072,24000000,281
train,000000000416,0,,20.0,110704,131072,24000000,209
train,000000000417,0,,-20.0,112792,131072,24000000,209
train,000000000418,0,,-4.0,113944,131072,24000000,209
train,000000000419,0,,-20.0,112360,131072,24000000,209
train,000000000420,1,P1,12.0,115328,131072,24000000,281
train,000000000421,1,Px,12.0,116440,131072,24000000,281
train,000000000422,0,,12.0,113304,131072,24000000,209
train,000000000423,0,,20.0,112760,131072,24000000,209
train,000000000424,1,Rect,-4.0,113344,131072,24000000,281
train,000000000425,1,LFM,20.0,139928,131072,24000000,281
train,000000000426,0,,-4.0,112944,131072,24000000,209
train,000000000427,1,Px,-12.0,137280,131072,24000000,281
train,000000000428,1,LFM,-20.0,139008,131072,24000000,281
train,000000000429,1,Px,-12.0,112552,131072,24000000,281
train,000000000430,1,P3,-12.0,138712,131072,24000000,281
train,000000000431,0,,-4.0,111560,131072,24000000,209
train,000000000432,1,P3,-4.0,111984,131072,24000000,281
train,000000000433,0,,12.0,112968,131072,24000000,209
train,000000000434,0,,4.0,113344,131072,24000000,209
train,000000000435,1,Px,-20.0,108888,131072,24000000,281
train,000000000436,1,P4,-20.0,135056,131072,24000000,281
train,000000000437,0,,20.0,111160,131072,24000000,209
train,000000000438,0,,4.0,113960,131072,24000000,209
train,000000000439,1,P3,12.0,116312,131072,24000000,281
train,000000000440,0,,-4.0,109896,131072,24000000,209
train,000000000441,1,Px,12.0,118304,131072,24000000,281
train,000000000442,1,ZadoffChu,-20.0,123432,131072,24000000,281
train,000000000443,0,,4.0,113872,131072,24000000,209
train,000000000444,1,Px,12.0,115264,131072,24000000,281
train,000000000445,0,,20.0,110720,131072,24000000,209
train,000000000446,1,FMCW,4.0,113064,131072,24000000,281
train,000000000447,0,,20.0,112896,131072,24000000,209
train,000000000448,1,Px,4.0,113448,131072,24000000,281
train,000000000449,0,,12.0,113696,131072,24000000,209
train,000000000450,1,P3,20.0,116672,131072,24000000,281
train,000000000451,1,ZadoffChu,-4.0,113840,131072,24000000,281
train,000000000452,1,FMCW,-12.0,132280,131072,24000000,281
train,000000000453,1,FMCW,4.0,113000,131072,24000000,281
train,000000000454,0,,-4.0,112384,131072,24000000,209
train,000000000455,0,,-20.0,113280,131072,24000000,209
train,000000000456,1,Px,20.0,117888,131072,24000000,281
train,000000000457,1,Frank,4.0,113808,131072,24000000,281
train,000000000458,1,ZadoffChu,-20.0,125120,131072,24000000,281
train,000000000459,0,,20.0,112920,131072,24000000,209
train,000000000460,0,,-20.0,112568,131072,24000000,209
train,000000000461,0,,-4.0,113480,131072,24000000,209
train,000000000462,0,,-20.0,112824,131072,24000000,209
train,000000000463,0,,-12.0,113128,131072,24000000,209
train,000000000464,0,,20.0,112408,131072,24000000,209
train,000000000465,1,P2,-20.0,115120,131072,24000000,281
train,000000000466,0,,-20.0,113528,131072,24000000,209
train,000000000467,0,,4.0,111384,131072,24000000,209
train,000000000468,1,Frank,4.0,113104,131072,24000000,281
train,000000000469,1,Barker,-20.0,108912,131072,24000000,281
train,000000000470,1,P2,-4.0,113352,131072,24000000,281
train,000000000471,1,P1,12.0,115576,131072,24000000,281
train,000000000472,1,ZadoffChu,12.0,114272,131072,24000000,281
train,000000000473,0,,12.0,113288,131072,24000000,209
train,000000000474,1,P1,12.0,116120,131072,24000000,281
train,000000000475,1,P3,-12.0,111768,131072,24000000,281
train,000000000476,1,P2,4.0,113464,131072,24000000,281
train,000000000477,1,P4,-12.0,110392,131072,24000000,281
train,000000000478,1,Px,12.0,115408,131072,24000000,281
train,000000000479,0,,20.0,111928,131072,24000000,209
train,000000000480,1,P3,-20.0,111384,131072,24000000,281
train,000000000481,0,,12.0,112496,131072,24000000,209
train,000000000482,1,ZadoffChu,-4.0,113616,131072,24000000,281
train,000000000483,0,,12.0,112640,131072,24000000,209
train,000000000484,0,,-4.0,112392,131072,24000000,209
train,000000000485,1,P3,20.0,117248,131072,24000000,281
train,000000000486,1,FMCW,-12.0,111680,131072,24000000,281
train,000000000487,1,Rect,-4.0,111696,131072,24000000,281
train,000000000488,0,,-12.0,110776,131072,24000000,209
train,000000000489,1,P3,12.0,113408,131072,24000000,281
train,000000000490,0,,20.0,112208,131072,24000000,209
train,000000000491,0,,-20.0,112744,131072,24000000,209
train,000000000492,0,,12.0,111880,131072,24000000,209
train,000000000493,0,,4.0,113672,131072,24000000,209
train,000000000494,1,Barker,-20.0,114896,131072,24000000,281
