stem,width,height,n_boxes,jpeg_bits,raw_rgb_8bit_bits,semantic_box_bits,jpeg_to_semantic_ratio,raw_rgb_to_semantic_ratio
0000026_04500_d_0000033,1360,765,47,1553968,24969600,3593,432.49874756470916,6949.512941831339
0000026_04978_d_0000034,1360,765,45,1329880,24969600,3449,385.58422731226443,7239.663670629167
0000055_00000_d_0000109,960,540,101,532984,12441600,7481,71.24502071915519,1663.0931693623847
0000055_00714_d_0000110,960,540,85,270400,12441600,6329,42.723969031442564,1965.8081845473218
0000069_00001_d_0000001,1360,765,34,1094112,24969600,2657,411.7847196085811,9397.666541211893
0000069_00483_d_0000002,1360,765,27,784888,24969600,2153,364.55550394797956,11597.584765443567
0000069_00713_d_0000003,1360,765,49,782328,24969600,3737,209.34653465346534,6681.723307465882
0000069_01109_d_0000004,1360,765,31,777176,24969600,2441,318.38426874231874,10229.250307251126
0000069_01878_d_0000005,1360,765,36,806792,24969600,2801,288.03712959657264,8914.530524812568
0000069_02163_d_0000006,1360,765,49,1564072,24969600,3737,418.53679421996253,6681.723307465882
0000069_02480_d_0000007,1360,765,64,2048776,24969600,4817,425.3219846377413,5183.641270500311
0000072_02834_d_0000003,1360,765,73,701576,24969600,5465,128.3762122598353,4569.0027447392495
0000076_02142_d_0000009,1360,765,11,967576,24969600,1001,966.6093906093906,24944.655344655344
0000081_00000_d_0000001,960,540,86,666960,12441600,6401,104.196219340728,1943.696297453523
0000086_00000_d_0000001,960,540,37,753584,12441600,2873,262.29864253393663,4330.5255830142705
0000086_00592_d_0000002,960,540,65,720568,12441600,4889,147.3855594191041,2544.814890570669
0000086_01084_d_0000003,960,540,146,638304,12441600,10721,59.537729689394645,1160.4887603768304
0000086_01443_d_0000004,960,540,107,781416,12441600,7913,98.75091621382535,1572.2987488942247
0000086_01954_d_0000005,960,540,173,738136,12441600,12665,58.281563363600476,982.3608369522306
0000103_00180_d_0000026,1360,765,1,700144,24969600,281,2491.6156583629895,88859.78647686832
0000103_00502_d_0000027,1360,765,3,803344,24969600,425,1890.2211764705883,58752.0
0000103_01734_d_0000028,1360,765,4,913664,24969600,497,1838.35814889336,50240.64386317907
0000103_02544_d_0000029,1360,765,14,939880,24969600,1217,772.2925225965489,20517.33771569433
0000103_02964_d_0000030,1360,765,10,1140280,24969600,929,1227.427341227126,26877.933261571583
0000103_03349_d_0000031,1360,765,4,822808,24969600,497,1655.5492957746478,50240.64386317907
0000103_03738_d_0000032,1360,765,3,474872,24969600,425,1117.345882352941,58752.0
0000103_04122_d_0000033,1360,765,4,987168,24969600,497,1986.2535211267605,50240.64386317907
0000103_04513_d_0000034,1360,765,2,811760,24969600,353,2299.603399433428,70735.41076487252
0000103_04948_d_0000035,1360,765,1,992520,24969600,281,3532.099644128114,88859.78647686832
0000115_00315_d_0000080,960,540,61,514968,12441600,4601,111.92523364485982,2704.1078026515975
0000115_00796_d_0000081,960,540,78,536096,12441600,5825,92.03364806866952,2135.8969957081545
0000115_01031_d_0000082,960,540,63,517584,12441600,4745,109.07987355110643,2622.04425711275
0000116_00351_d_0000083,960,540,74,564680,12441600,5537,101.9830232978147,2246.9929564746253
0000116_00819_d_0000084,960,540,36,565648,12441600,2801,201.94501963584435,4441.842199214566
0000116_01059_d_0000085,960,540,70,605192,12441600,5249,115.29662792912936,2370.280053343494
0000116_01338_d_0000086,960,540,54,529704,12441600,4097,129.29070051257017,3036.7586038564805
0000117_00112_d_0000087,1360,765,129,741816,24969600,9497,78.11056122986206,2629.2092239654626
0000117_01326_d_0000088,1360,765,62,791176,24969600,4673,169.30793922533704,5343.376845709395
0000117_01731_d_0000089,1360,765,47,733920,24969600,3593,204.26384636793765,6949.512941831339
0000117_02708_d_0000090,1360,765,100,887496,24969600,7409,119.78620596571737,3370.1714131461736
0000117_03096_d_0000091,1360,765,24,778272,24969600,1937,401.79246257098606,12890.862157976251
0000129_02411_d_0000138,1920,1080,186,2627224,49766400,13601,193.16403205646643,3659.0250716859055
0000153_00001_d_0000001,960,540,55,588112,12441600,4169,141.0678819860878,2984.3127848404893
0000153_00401_d_0000001,960,540,59,628856,12441600,4457,141.09400942337896,2791.4740857078755
0000153_00801_d_0000001,960,540,49,643368,12441600,3737,172.16162697350816,3329.3015788065295
0000153_01201_d_0000001,960,540,59,676288,12441600,4457,151.7361453892753,2791.4740857078755
0000153_01601_d_0000001,960,540,63,725408,12441600,4745,152.87839831401476,2622.04425711275
0000153_01801_d_0000001,960,540,55,746328,12441600,4169,179.0184696569921,2984.3127848404893
0000154_00001_d_0000001,960,540,51,725968,12441600,3881,187.0569440865756,3205.771708322597
0000154_00401_d_0000001,960,540,61,707424,12441600,4601,153.7544012171267,2704.1078026515975
0000154_00801_d_0000001,960,540,72,647680,12441600,5393,120.09642128685333,2306.9905432968662
0000154_01201_d_0000001,960,540,81,686256,12441600,6041,113.59973514318821,2059.5265684489323
0000154_01601_d_0000001,960,540,101,707512,12441600,7481,94.57452212271087,1663.0931693623847
0000154_02001_d_0000001,960,540,83,687144,12441600,6185,111.09846402586903,2011.5763945028293
0000155_00001_d_0000001,960,540,97,787472,12441600,7193,109.47754761573752,1729.6816349228416
0000155_00401_d_0000001,960,540,122,765480,12441600,8993,85.11953741799176,1383.4760369176026
0000155_00801_d_0000001,960,540,106,812464,12441600,7841,103.61739574033925,1586.7363856650938
0000155_01201_d_0000001,960,540,94,709648,12441600,6977,101.71248387559123,1783.2306148774544
0000155_01601_d_0000001,960,540,73,702104,12441600,5465,128.47282708142725,2276.5965233302836
0000155_01871_d_0000001,960,540,55,686160,12441600,4169,164.58623171024226,2984.3127848404893
0000162_00001_d_0000001,960,540,34,578256,12441600,2657,217.63492660895747,4682.574331953331
0000162_00401_d_0000001,960,540,46,618512,12441600,3521,175.6637318943482,3533.54160749787
0000162_00801_d_0000001,960,540,30,595888,12441600,2369,251.53566905867456,5251.836217813423
0000162_01058_d_0000001,960,540,57,683024,12441600,4313,158.36401576628796,2884.6742406677486
0000163_00001_d_0000001,960,540,69,763192,12441600,5177,147.4197411628356,2403.24512265791
0000163_00359_d_0000001,960,540,54,730552,12441600,4097,178.313888210886,3036.7586038564805
0000165_04325_d_0000105,1920,1080,29,2026296,49766400,2297,882.1488898563343,21665.824989116238
0000166_00558_d_0000118,1920,1080,71,2706296,49766400,5321,508.60665288479606,9352.828415711332
0000193_00000_d_0000103,960,540,63,777712,12441600,4745,163.9013698630137,2622.04425711275
0000193_01497_d_0000111,960,540,87,794624,12441600,6473,122.7597713579484,1922.0763170091147
0000193_01705_d_0000112,960,540,134,705072,12441600,9857,71.53008014608908,1262.2095972405398
0000193_01876_d_0000113,960,540,108,709136,12441600,7985,88.80851596743895,1558.1214777708203
0000193_02029_d_0000114,960,540,94,739008,12441600,6977,105.92059624480436,1783.2306148774544
0000193_02212_d_0000115,960,540,78,823056,12441600,5825,141.29716738197425,2135.8969957081545
0000193_02416_d_0000116,960,540,50,863784,12441600,3809,226.77448149120505,3266.369125754791
0000193_02606_d_0000117,960,540,49,930216,12441600,3737,248.92052448488093,3329.3015788065295
0000193_02725_d_0000118,960,540,39,856192,12441600,3017,283.78919456413655,4123.831620815379
0000194_00000_d_0000119,960,540,54,957016,12441600,4097,233.58945569929216,3036.7586038564805
0000194_00200_d_0000120,960,540,76,792200,12441600,5681,139.44728040837882,2190.0369653230064
0000194_00399_d_0000121,960,540,143,712232,12441600,10505,67.79933365064255,1184.3503093764873
0000194_00625_d_0000122,960,540,83,755480,12441600,6185,122.14713015359742,2011.5763945028293
0000194_00800_d_0000123,960,540,54,830256,12441600,4097,202.64974371491334,3036.7586038564805
0000194_00998_d_0000124,960,540,42,820832,12441600,3233,253.89174141664088,3848.3142592019794
0000194_01192_d_0000125,960,540,23,872984,12441600,1865,468.08793565683646,6671.099195710456
0000196_04512_d_0000144,1920,1080,69,3479920,49766400,5177,672.1885261734595,9612.98049063164
0000199_01269_d_0000166,960,540,16,493120,12441600,1361,362.3218221895665,9141.513592946363
0000213_02500_d_0000240,1360,765,94,1250192,24969600,6977,179.18761645406335,3578.844775691558
0000213_02965_d_0000241,1360,765,94,1781408,24969600,6977,255.32578472122688,3578.844775691558
0000213_03478_d_0000242,1360,765,115,1627936,24969600,8489,191.77005536576746,2941.4065260925904
0000213_03920_d_0000243,1360,765,164,1632656,24969600,12017,135.86219522343347,2077.8563701422986
0000213_04405_d_0000244,1360,765,106,1646752,24969600,7841,210.01810993495727,3184.4917740084175
0000213_04998_d_0000245,1360,765,137,1854032,24969600,10073,184.05956517422814,2478.86429067805
0000213_05340_d_0000246,1360,765,138,1775096,24969600,10145,174.97249876786594,2461.271562345983
0000213_05745_d_0000247,1360,765,101,1650208,24969600,7481,220.5865525999198,3337.7355968453417
0000215_00000_d_0000256,1360,765,157,1098240,24969600,11513,95.39129679492747,2168.817858073482
0000215_00447_d_0000257,1360,765,53,807632,24969600,4025,200.65391304347827,6203.627329192546
0000215_00909_d_0000258,1360,765,93,971712,24969600,6905,140.72585083272992,3616.1622013034034
0000215_01395_d_0000259,1360,765,57,1016120,24969600,4313,235.59471365638765,5789.380941340134
0000215_01869_d_0000260,1360,765,78,828912,24969600,5825,142.30248927038627,4286.62660944206
0000215_02319_d_0000261,1360,765,107,874912,24969600,7913,110.56640970554783,3155.516239100215
0000215_02667_d_0000262,1360,765,83,940856,24969600,6185,152.1189975747777,4037.1220695230395
0000215_02932_d_0000263,1360,765,48,837816,24969600,3665,228.59918144611186,6812.987721691678
0000215_03226_d_0000264,1360,765,23,714048,24969600,1865,382.8675603217158,13388.5254691689
0000216_00520_d_0000001,1360,765,109,1210912,24969600,8057,150.29316122626287,3099.11877870175
0000220_01242_d_0000004,1920,1080,37,3023200,49766400,2873,1052.2798468499825,17322.102332057082
0000223_01802_d_0000005,1920,1080,64,2870704,49766400,4817,595.9526676354577,10331.409591031763
0000237_00001_d_0000001,960,540,15,1051928,12441600,1289,816.0806826997673,9652.133436772692
0000242_00001_d_0000001,960,540,42,774992,12441600,3233,239.71296009897927,3848.3142592019794
0000242_00500_d_0000002,960,540,53,636040,12441600,4025,158.0223602484472,3091.080745341615
0000242_00627_d_0000003,960,540,45,696496,12441600,3449,201.94143229921715,3607.3064656422152
0000242_00843_d_0000004,960,540,2,475912,12441600,353,1348.1926345609065,35245.32577903683
0000242_00963_d_0000005,960,540,13,894528,12441600,1145,781.2471615720524,10866.026200873363
0000242_01139_d_0000006,960,540,72,754464,12441600,5393,139.8969033932876,2306.9905432968662
0000242_01475_d_0000007,960,540,65,722952,12441600,4889,147.8731847003477,2544.814890570669
0000242_01912_d_0000008,960,540,50,741168,12441600,3809,194.58335521134157,3266.369125754791
0000242_02400_d_0000009,960,540,34,789456,12441600,2657,297.1230711328566,4682.574331953331
0000242_02762_d_0000010,960,540,33,771152,12441600,2585,298.3179883945841,4812.9980657640235
0000242_03199_d_0000011,960,540,9,940168,12441600,857,1097.0455075845975,14517.61960326721
0000242_03668_d_0000012,960,540,41,1012896,12441600,3161,320.43530528313823,3935.969629863967
0000242_04116_d_0000013,960,540,8,1054680,12441600,785,1343.5414012738854,15849.171974522293
0000242_04600_d_0000014,960,540,29,1081080,12441600,2297,470.6486721811058,5416.456247279059
0000242_05059_d_0000015,960,540,37,1063400,12441600,2873,370.13574660633486,4330.5255830142705
0000242_05570_d_0000016,960,540,32,961496,12441600,2513,382.6088340628731,4950.895344210107
0000242_06010_d_0000017,960,540,41,876928,12441600,3161,277.4210692818728,3935.969629863967
0000242_06452_d_0000018,960,540,12,1049280,12441600,1073,977.8937558247903,11595.15377446412
0000244_00001_d_0000001,960,540,47,846376,12441600,3593,235.5624826050654,3462.7330921235734
0000244_00500_d_0000002,960,540,32,755824,12441600,2513,300.7656187823319,4950.895344210107
0000244_01000_d_0000003,960,540,122,955296,12441600,8993,106.22662070499277,1383.4760369176026
0000244_01500_d_0000004,960,540,96,808488,12441600,7121,113.53573936244909,1747.1703412442073
0000244_02000_d_0000005,960,540,129,928544,12441600,9497,97.77234916289355,1310.055807096978
0000244_02500_d_0000006,960,540,113,761648,12441600,8345,91.26998202516477,1490.9047333732774
0000244_03000_d_0000007,960,540,44,697584,12441600,3377,206.56914421083803,3684.216760438259
0000244_03500_d_0000008,960,540,146,838024,12441600,10721,78.1665889375991,1160.4887603768304
0000244_04000_d_0000009,960,540,57,961640,12441600,4313,222.96313470901924,2884.6742406677486
0000244_04400_d_0000010,960,540,101,969000,12441600,7481,129.52813794947198,1663.0931693623847
0000244_04900_d_0000011,960,540,106,943320,12441600,7841,120.30608340772861,1586.7363856650938
0000244_05400_d_0000012,960,540,90,764504,12441600,6689,114.29271939004336,1860.0089699506652
0000244_05900_d_0000013,960,540,66,745848,12441600,4961,150.34226970368877,2507.8814755089697
0000244_06388_d_0000014,960,540,46,800488,12441600,3521,227.34677648395342,3533.54160749787
0000249_00001_d_0000001,960,540,80,787632,12441600,5969,131.95376109901156,2084.3692410789076
0000249_00235_d_0000002,960,540,85,804080,12441600,6329,127.0469268446832,1965.8081845473218
0000249_00603_d_0000003,960,540,48,808544,12441600,3665,220.61227830832198,3394.706684856753
0000249_01100_d_0000004,960,540,27,1126608,12441600,2153,523.2735717603344,5778.727357176033
0000249_01514_d_0000005,960,540,51,1109056,12441600,3881,285.76552434939447,3205.771708322597
0000249_01635_d_0000006,960,540,80,831776,12441600,5969,139.34930474116268,2084.3692410789076
0000249_02073_d_0000007,960,540,67,918072,12441600,5033,182.41049076097755,2472.0047685277173
0000249_02468_d_0000008,960,540,18,892384,12441600,1505,592.9461794019934,8266.843853820597
0000249_02900_d_0000009,960,540,101,858272,12441600,7481,114.72690816735731,1663.0931693623847
0000249_03400_d_0000010,960,540,92,875120,12441600,6833,128.07258890677593,1820.8107712571345
0000249_03900_d_0000011,960,540,85,808904,12441600,6329,127.80913256438616,1965.8081845473218
0000253_00001_d_0000001,960,540,106,833616,12441600,7841,106.31501084045402,1586.7363856650938
0000256_00715_d_0000019,1360,765,91,1521608,24969600,6761,225.05664842478924,3693.1814820292857
0000256_02173_d_0000030,1360,765,50,1795072,24969600,3809,471.27119978997115,6555.421370438436
0000263_02401_d_0000179,1360,765,17,793656,24969600,1433,553.8422889043964,17424.70341939986
0000269_00001_d_0000348,1360,765,128,1396912,24969600,9425,148.213474801061,2649.2944297082227
0000269_00201_d_0000349,1360,765,47,1338944,24969600,3593,372.6534929028667,6949.512941831339
0000269_00601_d_0000351,1360,765,93,1364160,24969600,6905,197.56118754525707,3616.1622013034034
0000271_00001_d_0000374,1360,765,58,1390728,24969600,4385,317.1557582668187,5694.321550741163
0000271_00201_d_0000375,1360,765,75,1293680,24969600,5609,230.64360848636122,4451.702620788019
0000271_00401_d_0000376,1360,765,25,1624248,24969600,2009,808.4858138377302,12428.870084619213
0000271_00601_d_0000377,1360,765,79,1371424,24969600,5897,232.56299813464474,4234.288621332881
0000271_00801_d_0000378,1360,765,63,1181136,24969600,4745,248.9222339304531,5262.297154899895
0000271_01201_d_0000379,1360,765,59,1294264,24969600,4457,290.3890509311196,5602.3334081220555
0000271_01401_d_0000380,1360,765,55,1359168,24969600,4169,326.01775005996643,5989.349964020149
0000271_01601_d_0000381,1360,765,48,1652592,24969600,3665,450.9118690313779,6812.987721691678
0000271_02401_d_0000385,1360,765,84,1347232,24969600,6257,215.3159661179479,3990.666453571999
0000271_02601_d_0000386,1360,765,79,1170728,24969600,5897,198.52942173986773,4234.288621332881
0000271_03001_d_0000387,1360,765,56,1303856,24969600,4241,307.440697948597,5887.668002829521
0000271_03801_d_0000391,1360,765,57,1299232,24969600,4313,301.2362624623232,5789.380941340134
0000271_04401_d_0000394,1360,765,86,1304832,24969600,6401,203.84814872676145,3900.8904858615842
0000271_04801_d_0000396,1360,765,50,1380016,24969600,3809,362.30401680231034,6555.421370438436
0000271_05001_d_0000397,1360,765,90,1351784,24969600,6689,202.09059650171923,3732.9346688593214
0000271_05201_d_0000398,1360,765,70,1262032,24969600,5249,240.43284435130502,4757.020384835207
0000271_05401_d_0000399,1360,765,71,1240544,24969600,5321,233.14113888366848,4692.651757188499
0000271_05601_d_0000400,1360,765,86,1284408,24969600,6401,200.65739728167475,3900.8904858615842
0000271_05801_d_0000401,1360,765,104,1221768,24969600,7697,158.73301286215408,3244.069117838119
0000271_06001_d_0000402,1360,765,158,1311064,24969600,11585,113.16909797151489,2155.338800172637
0000271_06201_d_0000403,1360,765,142,1318256,24969600,10433,126.35445221892073,2393.328860346976
0000271_06401_d_0000404,1360,765,128,1275880,24969600,9425,135.37188328912467,2649.2944297082227
0000271_06601_d_0000405,1360,765,105,1321720,24969600,7769,170.12742952760973,3214.004376367615
0000271_06801_d_0000406,1360,765,95,1252040,24969600,7049,177.6195204993616,3542.289686480352
0000271_07001_d_0000407,1360,765,58,1247776,24969600,4385,284.55553021664764,5694.321550741163
0000271_07201_d_0000408,1360,765,25,1152152,24969600,2009,573.4952712792434,12428.870084619213
0000271_07401_d_0000409,1360,765,42,1395672,24969600,3233,431.6956387256418,7723.35292298175
0000273_05601_d_0000466,1360,765,32,1619016,24969600,2513,644.2562674094708,9936.17190608834
0000276_00001_d_0000507,1360,765,55,1234776,24969600,4169,296.18037898776686,5989.349964020149
0000276_00401_d_0000509,1360,765,62,1300328,24969600,4673,278.2640701904558,5343.376845709395
0000276_00601_d_0000510,1360,765,37,1576784,24969600,2873,548.8284023668639,8691.124260355029
0000276_01001_d_0000512,1360,765,44,1680216,24969600,3377,497.546935149541,7394.018359490672
0000276_01201_d_0000513,1360,765,29,1578976,24969600,2297,687.4079233783195,10870.526774053113
0000276_01401_d_0000514,1360,765,25,1646304,24969600,2009,819.4644101543056,12428.870084619213
0000276_01801_d_0000516,1360,765,21,1659928,24969600,1721,964.5136548518303,14508.773968622894
0000276_02001_d_0000517,1360,765,15,1360944,24969600,1289,1055.8138091543833,19371.295577967416
0000276_02201_d_0000518,1360,765,41,1819608,24969600,3161,575.6431509016135,7899.2723821575455
0000276_02401_d_0000519,1360,765,48,1895656,24969600,3665,517.2321964529332,6812.987721691678
0000276_02601_d_0000520,1360,765,32,1675008,24969600,2513,666.5372065260644,9936.17190608834
0000276_02801_d_0000521,1360,765,37,1796704,24969600,2873,625.3755656108598,8691.124260355029
0000276_03001_d_0000522,1360,765,38,1594968,24969600,2945,541.5850594227504,8478.641765704584
0000276_03201_d_0000523,1360,765,61,1734352,24969600,4601,376.951097587481,5426.994131710498
0000276_03401_d_0000524,1360,765,61,1705504,24969600,4601,370.681156270376,5426.994131710498
0000276_03601_d_0000525,1360,765,46,1575016,24969600,3521,447.32064754331157,7091.621698381142
0000276_03801_d_0000526,1360,765,64,1326464,24969600,4817,275.37139298318453,5183.641270500311
0000276_04001_d_0000527,1360,765,54,1722152,24969600,4097,420.3446424212839,6094.60580912863
0000276_04201_d_0000528,1360,765,59,1882680,24969600,4457,422.4096926183532,5602.3334081220555
0000276_04401_d_0000529,1360,765,40,1822352,24969600,3089,589.948850760764,8083.392683716413
0000276_04601_d_0000530,1360,765,10,1844824,24969600,929,1985.8170075349838,26877.933261571583
0000276_04801_d_0000531,1360,765,10,1948512,24969600,929,2097.4294940796553,26877.933261571583
0000276_05001_d_0000532,1360,765,7,2191904,24969600,713,3074.1991584852735,35020.47685834502
0000276_05201_d_0000533,1360,765,6,2074984,24969600,641,3237.104524180967,38954.13416536662
0000276_05601_d_0000535,1360,765,10,1971576,24969600,929,2122.2561894510227,26877.933261571583
0000276_05801_d_0000536,1360,765,7,1957768,24969600,713,2745.817671809257,35020.47685834502
0000276_06001_d_0000537,1360,765,14,1924712,24969600,1217,1581.5217748562038,20517.33771569433
0000277_00001_d_0000539,1360,765,85,984640,24969600,6329,155.5759203665666,3945.267814820667
0000277_00201_d_0000540,1360,765,83,1132784,24969600,6185,183.15020210185935,4037.1220695230395
0000277_00401_d_0000541,1360,765,117,780680,24969600,8633,90.42974632225183,2892.3433337194488
0000277_01401_d_0000546,1360,765,78,857872,24969600,5825,147.27416309012875,4286.62660944206
0000277_01601_d_0000547,1360,765,78,973608,24969600,5825,167.1430042918455,4286.62660944206
0000277_01801_d_0000548,1360,765,101,1146880,24969600,7481,153.30570779307578,3337.7355968453417
0000277_02001_d_0000549,1360,765,83,1183072,24969600,6185,191.28084074373484,4037.1220695230395
0000277_02201_d_0000550,1360,765,69,1050776,24969600,5177,202.97005988023952,4823.1794475565
0000277_02401_d_0000551,1360,765,91,1068376,24969600,6761,158.02041118177783,3693.1814820292857
0000277_02601_d_0000552,1360,765,122,1156696,24969600,8993,128.62181696875348,2776.5595463137997
0000277_03201_d_0000554,1360,765,85,969912,24969600,6329,153.24885447938064,3945.267814820667
0000277_03401_d_0000555,1360,765,103,1063232,24969600,7625,139.44026229508196,3274.7016393442623
0000277_03601_d_0000556,1360,765,60,1077648,24969600,4529,237.94391697946566,5513.27003753588
0000277_04001_d_0000558,1360,765,75,1158152,24969600,5609,206.48101265822785,4451.702620788019
0000277_04201_d_0000559,1360,765,67,1169792,24969600,5033,232.42439896681898,4961.176236836876
0000277_04401_d_0000560,1360,765,71,1075168,24969600,5321,202.06126667919563,4692.651757188499
0000277_04601_d_0000561,1360,765,95,1057200,24969600,7049,149.97872038587033,3542.289686480352
0000277_05001_d_0000562,1360,765,97,1104984,24969600,7193,153.6193521479216,3471.3749478659806
0000280_00001_d_0000612,1360,765,87,1366768,24969600,6473,211.1490807971574,3857.500386219682
0000280_00201_d_0000613,1360,765,47,1193928,24969600,3593,332.2927915391038,6949.512941831339
0000280_00401_d_0000614,1360,765,59,1292712,24969600,4457,290.04083464213596,5602.3334081220555
0000280_00601_d_0000615,1360,765,74,1508616,24969600,5537,272.4608994040094,4509.590030702547
0000280_00801_d_0000616,1360,765,70,1587640,24969600,5249,302.46523147266146,4757.020384835207
0000280_01001_d_0000617,1360,765,126,1540744,24969600,9281,166.010559206982,2690.399741407176
0000280_01201_d_0000618,1360,765,134,1451576,24969600,9857,147.26346758648677,2533.184538906361
0000280_01401_d_0000619,1360,765,110,1460976,24969600,8129,179.72395128552097,3071.669332021159
0000280_01601_d_0000620,1360,765,103,1446840,24969600,7625,189.7495081967213,3274.7016393442623
0000280_01801_d_0000621,1360,765,90,1290104,24969600,6689,192.8694872178203,3732.9346688593214
0000280_02001_d_0000622,1360,765,66,1358664,24969600,4961,273.86897802862325,5033.178794597863
0000280_02201_d_0000623,1360,765,80,1337384,24969600,5969,224.05495057798626,4183.2132685541965
0000280_02401_d_0000624,1360,765,92,1357304,24969600,6833,198.6395433923606,3654.26606175911
0000280_02601_d_0000625,1360,765,73,1543112,24969600,5465,282.3626715462031,4569.0027447392495
0000280_02801_d_0000626,1360,765,55,1466856,24969600,4169,351.8484048932598,5989.349964020149
0000280_03001_d_0000627,1360,765,88,1396200,24969600,6545,213.3231474407945,3815.064935064935
0000280_03201_d_0000628,1360,765,82,1383248,24969600,6113,226.27973171928676,4084.6720104694914
0000280_03401_d_0000629,1360,765,83,1391240,24969600,6185,224.93775262732416,4037.1220695230395
0000283_00401_d_0000676,1920,1080,6,2131008,49766400,641,3324.5054602184086,77638.6895475819
0000283_00601_d_0000677,1920,1080,9,2604392,49766400,857,3038.9638273045507,58070.47841306884
0000283_00801_d_0000678,1920,1080,8,2714752,49766400,785,3458.2828025477706,63396.68789808917
0000283_01001_d_0000679,1920,1080,4,2464032,49766400,497,4957.810865191147,100133.60160965794
0000287_00001_d_0000759,1360,765,52,1539992,24969600,3953,389.5755122691627,6316.620288388565
0000287_00201_d_0000760,1360,765,51,1328512,24969600,3881,342.3117753156403,6433.805720175213
0000287_00401_d_0000761,1360,765,44,1337240,24969600,3377,395.98460171750077,7394.018359490672
0000287_00601_d_0000762,1360,765,93,1333384,24969600,6905,193.10412744388125,3616.1622013034034
0000287_00801_d_0000763,1360,765,58,1353616,24969600,4385,308.6923603192702,5694.321550741163
0000287_01001_d_0000764,1360,765,71,1301680,24969600,5321,244.63070851343733,4692.651757188499
0000287_01201_d_0000765,1360,765,68,1286992,24969600,5105,252.10421155729676,4891.204701273262
0000287_01401_d_0000766,1360,765,68,1259696,24969600,5105,246.75729676787464,4891.204701273262
0000287_01601_d_0000767,1360,765,74,1359304,24969600,5537,245.49467220516524,4509.590030702547
0000287_01801_d_0000768,1360,765,56,1353176,24969600,4241,319.07003065314785,5887.668002829521
0000287_02001_d_0000769,1360,765,44,1394728,24969600,3377,413.0079952620669,7394.018359490672
0000287_02201_d_0000770,1360,765,27,1341496,24969600,2153,623.0822108685555,11597.584765443567
0000287_02401_d_0000771,1360,765,18,1404032,24969600,1505,932.9116279069767,16591.09634551495
